eplay,player,build,Spawning Pool,Extractor,Hatchery 1,Hatchery 2,Lair,Spire,Metabolic Boost (Zergling Speed)
FNbpVtkAbpE3c9zbYgL0h6WG2itmQU6OVK4JJ85jgyU.rep,ZouLslayer(NOR),11 Hatch,2715,2885,2261,5806,12425,-1,4216
gDDZl9IgNFgAEA0l3U4LdFR4yrmvmxygWn4B-a8j6og.rep,ZouLslayer(NOR),12 Pool,2251,2811,2987,4808,6779,-1,-1
GsCS5VIrJEK_uNufSEVmly4jyLllFKZYjcVnqrgJTHY.rep,LK99저글링,12 Pool,2292,1537,3249,9307,13341,15503,4079
GsCS5VIrJEK_uNufSEVmly4jyLllFKZYjcVnqrgJTHY.rep,킹갓제네럴썬더라,9 Pool,1663,1866,4944,11507,17778,19507,3127
Heqjk7T97-AcCSzS8WQnOuqZ4wFhwhSd1f9oG9yq7w0.rep,TomasPlay,11 Pool,2127,2954,2857,17313,10577,12276,4286
Heqjk7T97-AcCSzS8WQnOuqZ4wFhwhSd1f9oG9yq7w0.rep,Gandalfin,Overpool,1850,2041,3841,18069,5152,6869,3299
hJl7Sa9UEJx99Y4AN5297DnSaPXPC9EhgatyS1_oGUc.rep,Spicy,9 Pool,1696,3475,2745,6085,9348,-1,-1
hJl7Sa9UEJx99Y4AN5297DnSaPXPC9EhgatyS1_oGUc.rep,행복스타맨,Overpool,1880,2597,3773,8286,14587,-1,4059
I0vJUFmUbM_5MOL_h7qaZcW2lHLF6BsAq12BTgbne4A.rep,TomasPlay,9 Pool,1618,1704,7756,-1,3825,-1,3101
I0vJUFmUbM_5MOL_h7qaZcW2lHLF6BsAq12BTgbne4A.rep,Gandalfin,Overpool,1837,1938,6494,9744,3240,5084,-1
I0vJUFmUbM_5MOL_h7qaZcW2lHLF6BsAq12BTgbne4A.rep,wantsumfuk,10 Hatch,2494,1298,2026,5153,-1,-1,7749
i63LjnOq6MUC7UaN_ATc6kfqlqHcN879x3MHaRHPme4.rep,행복스타맨,7 Pool,1330,6744,4036,7177,-1,-1,10134
i63LjnOq6MUC7UaN_ATc6kfqlqHcN879x3MHaRHPme4.rep,킹갓제네럴썬더라,9 Hatch,2642,5233,2057,7291,-1,-1,-1
IhT8Ho8HHGNLH8oHLt-IhfYw5E1KnHNqVTwvytp0ziw.rep,킹갓제네럴썬더라,9 Pool,1742,2387,3198,-1,-1,-1,-1
IhT8Ho8HHGNLH8oHLt-IhfYw5E1KnHNqVTwvytp0ziw.rep,행복스타맨,7 Pool,1341,-1,-1,-1,-1,-1,-1
IhT8Ho8HHGNLH8oHLt-IhfYw5E1KnHNqVTwvytp0ziw.rep,비두로기,9 Pool,1628,1898,-1,-1,-1,-1,3177
IQsI0TlPqbBPfSxwr-4-ob1ZXTLG2dAilQk4F1-67kU.rep,Ikz,12 Hatch,2844,3236,2423,10686,5028,6732,24257
IyqW78yjdygzbfGPI2Uw_wUtpStqqmjMlPbl0j1Y7vg.rep,TerraHydraCanno,9 Pool,1538,1777,4103,10765,-1,-1,2954
IyqW78yjdygzbfGPI2Uw_wUtpStqqmjMlPbl0j1Y7vg.rep,MilIe-FeuilIe,3 Hatch Before Pool,4060,3478,2357,3362,9046,-1,-1
kjdKFr3d4FNKQl4MArFoo-_tj6zA3CpGOLXktpRRowk.rep,BSL-andy,Overpool,1770,1875,-1,-1,3133,4697,-1
