file,player,build,Pylon 1,Pylon 2,Pylon 3,Pylon 4,Pylon 5,Gateway 1,Gateway 2,Gateway 3,Gateway 4,Gateway 5,Assimilator 1,Assimilator 2,Stargate 1,Stargate 2,Stargate 3,Stargate 4,Stargate 5,Forge 1,Citadel of Adun,Robotics Facility,Templar Archives,Robotics Support Bay,Photon Cannon 1,Photon Cannon 2,Photon Cannon 3,Photon Cannon 4,Photon Cannon 5,Observatory,Fleet Beacon,Arbiter Tribunal,Nexus 1,Nexus 2
IhT8Ho8HHGNLH8oHLt-IhfYw5E1KnHNqVTwvytp0ziw.rep,LK99 플토,,1377,-1,-1,-1,-1,2437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1938,-1,-1,-1,-1,3147,-1,-1,-1,-1,-1,-1,-1,3991,-1
IqN0I1Uw2qDHYRv8766ZY4CHuiSKi5Wt2ydExCzfCeg.rep,두유노핑프,,917,3405,3915,5679,6993,1642,2371,2518,-1,-1,4702,-1,-1,-1,-1,-1,-1,6509,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
IqN0I1Uw2qDHYRv8766ZY4CHuiSKi5Wt2ydExCzfCeg.rep,성역의문지기,,1396,3450,-1,-1,-1,1971,6397,-1,-1,-1,2477,-1,-1,-1,-1,-1,-1,4255,-1,-1,-1,-1,5066,5629,-1,-1,-1,-1,-1,-1,-1,-1
IQsI0TlPqbBPfSxwr-4-ob1ZXTLG2dAilQk4F1-67kU.rep,Panido,,1131,3244,4078,4353,5627,2074,2631,-1,-1,-1,4903,-1,6468,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
IQsI0TlPqbBPfSxwr-4-ob1ZXTLG2dAilQk4F1-67kU.rep,Confusions,,1149,4052,5478,-1,-1,1760,2467,-1,-1,-1,2719,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
IyqW78yjdygzbfGPI2Uw_wUtpStqqmjMlPbl0j1Y7vg.rep,Gandalfin,,1108,2865,4646,4674,7045,1840,-1,-1,-1,-1,2325,-1,5457,-1,-1,-1,-1,4942,-1,-1,-1,-1,5747,6378,-1,-1,-1,-1,-1,-1,-1,-1
keDGrEyCUxsG4TOFEKvwY3iYfCbR5HOnZGrr8J7Tggg.rep,EastHampton,,1227,3125,3790,-1,-1,1773,-1,-1,-1,-1,2241,-1,-1,-1,-1,-1,-1,4044,-1,-1,-1,-1,4770,5022,5474,5714,-1,-1,-1,-1,-1,-1
kkev1e5tYfEuuzMFqzKiIDoS0u0sCpj6sXdoIcz_Xcw.rep,EastHampton,,1184,2996,3897,5923,6483,1756,2348,-1,-1,-1,4386,-1,-1,-1,-1,-1,-1,4978,-1,-1,-1,-1,5801,6759,-1,-1,-1,-1,-1,-1,-1,-1
kQVDSyN-b9thHOUTiBYvpPxuBB2n73oYXZIcv2Vr4RY.rep,kOrN[C]reate,,1224,4132,6093,-1,-1,1838,-1,-1,-1,-1,2417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kQVDSyN-b9thHOUTiBYvpPxuBB2n73oYXZIcv2Vr4RY.rep,--------------_,,1208,3056,4195,-1,-1,1787,2429,-1,-1,-1,5632,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
